category,code_system,code,display_name,what_it_is,when_youd_need_it
infused_drug,HCPCS,J9271,Pembrolizumab Keytruda per 1mg,"PD-1 immunotherapy antibody, billed per 1mg.","Many advanced cancers including melanoma, lung, and head and neck."
infused_drug,HCPCS,J9299,Nivolumab Opdivo per 1mg,"PD-1 immunotherapy antibody, billed per 1mg.","Melanoma, lung, kidney, bladder, and other advanced cancers."
infused_drug,HCPCS,J9035,Bevacizumab Avastin per 10mg,"Anti-VEGF antibody used in many cancers, billed per 10mg.","Colorectal, lung, kidney, ovarian, and other advanced cancers."
infused_drug,HCPCS,J9312,Rituximab Rituxan per 10mg,"Anti-CD20 antibody, billed per 10mg.","B-cell lymphomas, leukemias, and some autoimmune diseases."
infused_drug,HCPCS,J9145,Daratumumab Darzalex per 10mg,"Anti-CD38 antibody for multiple myeloma, billed per 10mg.",Newly diagnosed and relapsed multiple myeloma.
infused_drug,HCPCS,J9173,Durvalumab Imfinzi per 10mg,"PD-L1 immunotherapy antibody, billed per 10mg.",Lung cancer and bladder cancer regimens.
infused_drug,HCPCS,J9119,Cemiplimab Libtayo per 1mg,"PD-1 immunotherapy antibody, billed per 1mg.",Cutaneous squamous cell and basal cell carcinomas.
infused_drug,HCPCS,J9047,Carfilzomib Kyprolis per 1mg,"Proteasome inhibitor for multiple myeloma, billed per 1mg.",Relapsed or refractory multiple myeloma.
infused_drug,HCPCS,J9264,Paclitaxel protein-bound Abraxane per 1mg,"Albumin-bound paclitaxel chemotherapy, billed per 1mg.","Breast, lung, and pancreatic cancer regimens."
infused_drug,HCPCS,J9267,Paclitaxel Taxol per 1mg,"Conventional paclitaxel chemotherapy, billed per 1mg.","Breast, ovarian, lung, and other cancers."
infused_drug,HCPCS,J9170,Docetaxel Taxotere per 1mg,"Taxane chemotherapy, billed per 1mg.","Breast, prostate, lung, gastric, and head and neck cancers."
infused_drug,HCPCS,J9305,Pemetrexed Alimta per 10mg,"Antifolate chemotherapy, billed per 10mg.",Non-small cell lung cancer and mesothelioma.
infused_drug,HCPCS,J9201,Gemcitabine Gemzar per 200mg,"Antimetabolite chemotherapy, billed per 200mg.","Pancreatic, lung, bladder, breast, and ovarian cancers."
infused_drug,HCPCS,J9263,Oxaliplatin Eloxatin per 0.5mg,"Platinum-based chemotherapy, billed per 0.5mg.",Colorectal cancer regimens like FOLFOX.
infused_drug,HCPCS,J9045,Carboplatin per 50mg,"Platinum-based chemotherapy, billed per 50mg.","Lung, ovarian, head and neck, and other cancers."
infused_drug,HCPCS,J9060,Cisplatin per 10mg,"Platinum-based chemotherapy, billed per 10mg.","Many cancers including testicular, lung, and bladder."
infused_drug,HCPCS,J9070,Cyclophosphamide Cytoxan per 100mg,"Alkylating chemotherapy, billed per 100mg.","Lymphomas, breast cancer, leukemias, and autoimmune disease."
infused_drug,HCPCS,J9000,Doxorubicin Adriamycin per 10mg,"Anthracycline chemotherapy, billed per 10mg.","Breast, lymphoma, sarcoma, and many other regimens."
infused_drug,HCPCS,J9100,Cytarabine per 100mg,"Antimetabolite chemotherapy, billed per 100mg.",Acute leukemias and lymphomas.
infused_drug,HCPCS,J9180,Epirubicin per 2mg,"Anthracycline chemotherapy, billed per 2mg.",Breast cancer regimens and some other tumors.
infused_drug,HCPCS,J9250,Methotrexate sodium per 5mg,"Antimetabolite chemotherapy, billed per 5mg.","Breast cancer, leukemias, lymphomas, and rheumatologic disease."
infused_drug,HCPCS,J9217,Leuprolide acetate Lupron per 7.5mg,"GnRH analog hormonal therapy, billed per 7.5mg depot dose.",Prostate cancer and some breast cancer regimens.
infused_drug,HCPCS,J9395,Fulvestrant Faslodex per 25mg,"Estrogen receptor antagonist injection, billed per 25mg.",Hormone receptor positive metastatic breast cancer.
infused_drug,HCPCS,J0640,Leucovorin calcium per 50mg,"Folinic acid for chemotherapy rescue, billed per 50mg.",Methotrexate rescue and FOLFOX/FOLFIRI regimens.
infused_drug,HCPCS,J1626,Granisetron Kytril per 100mcg,"Anti-nausea antiemetic, billed per 100mcg.",Chemotherapy-induced nausea and vomiting.
infused_drug,HCPCS,J2469,Palonosetron Aloxi per 25mcg,"Long-acting antiemetic, billed per 25mcg.",Highly emetogenic chemotherapy regimens.
infused_drug,HCPCS,J9043,Cabazitaxel Jevtana per 1mg,"Taxane chemotherapy, billed per 1mg.",Castration-resistant metastatic prostate cancer.
infused_drug,HCPCS,J9301,Obinutuzumab Gazyva per 10mg,"Anti-CD20 antibody, billed per 10mg.",Chronic lymphocytic leukemia and follicular lymphoma.
surgical,CPT,19303,Mastectomy simple complete,Simple total mastectomy of the breast.,Breast cancer surgery without lymph node dissection.
surgical,CPT,19307,Modified radical mastectomy,Mastectomy plus axillary lymph node dissection.,Breast cancer with regional lymph node involvement.
surgical,CPT,19120,Breast lesion excision,Surgical excision of one or more breast lesions.,Breast biopsy upgrade to lumpectomy or fibroadenoma removal.
surgical,CPT,19125,Breast lesion excision with marker,Excision of breast lesion identified preoperatively by needle marker.,Removal of non-palpable breast cancer found on imaging.
surgical,CPT,19357,Breast reconstruction tissue expander,Breast reconstruction using a tissue expander.,First stage reconstruction after mastectomy.
surgical,CPT,60240,Total thyroidectomy,Surgical removal of the entire thyroid gland.,Thyroid cancer or large goiters.
surgical,CPT,60500,Parathyroidectomy,Surgical removal of one or more parathyroid glands.,Primary hyperparathyroidism or parathyroid cancer.
surgical,CPT,32480,Lobectomy lung,Surgical removal of one lobe of the lung.,Localized lung cancer.
surgical,CPT,32486,Pneumonectomy,Surgical removal of an entire lung.,Larger lung cancers not amenable to lobectomy.
surgical,CPT,47120,Hepatectomy partial,Partial removal of the liver.,Primary liver cancer or liver metastases.
surgical,CPT,55840,Radical prostatectomy,Surgical removal of the prostate and seminal vesicles.,Localized prostate cancer.
surgical,CPT,55866,Robotic radical prostatectomy,Robotic-assisted laparoscopic radical prostatectomy.,Most prostate cancer surgery in the US is now robotic.
surgical,CPT,58571,Laparoscopic total hysterectomy,Laparoscopic removal of uterus and cervix.,"Endometrial cancer, fibroids, or other gynecologic disease."
surgical,CPT,58951,Pelvic exenteration ovarian cancer,Extensive pelvic surgery for advanced ovarian or other gyn cancer.,Advanced gynecologic malignancy.
surgical,CPT,38525,Lymph node biopsy deep axillary,Excisional biopsy of deep axillary lymph node.,Diagnosing breast cancer or lymphoma.
surgical,CPT,38745,Axillary lymphadenectomy,Removal of axillary lymph nodes.,Breast cancer with positive sentinel nodes.
surgical,CPT,38500,Lymph node biopsy superficial,Excisional biopsy of a superficial lymph node.,Lymphoma diagnosis or melanoma staging.
surgical,CPT,44204,Laparoscopic colectomy partial,Laparoscopic partial colon resection with anastomosis.,Colon cancer.
surgical,CPT,44205,Laparoscopic colectomy with ileostomy,Laparoscopic colectomy and ileostomy.,Colon cancer requiring ostomy or rectal cancer.
cancer_screening,CPT,88307,Surgical pathology level V,Microscopic exam of complex tissue specimens.,"Lymph node dissections, complex tumor resections, and brain biopsies."
cancer_screening,CPT,88173,Cytopathology FNA interpretation,Pathologist interpretation of fine needle aspiration cytology.,"Thyroid, breast, and lymph node aspirates."
cancer_screening,CPT,86304,CA-125 tumor marker,Blood test for CA-125 cancer antigen.,Ovarian cancer screening and monitoring.
cancer_screening,CPT,86316,Tumor antigen quantitative,Quantitative blood test for various tumor antigens.,Monitoring response to cancer treatment.
cancer_screening,CPT,86308,Heterophile antibodies screening,"Screening test for heterophile antibodies, often included in cancer workup.",Mononucleosis vs lymphoma differential.
cancer_screening,HCPCS,G0103,PSA screening,Medicare-coded prostate-specific antigen screening test.,Annual prostate cancer screening for eligible men.
cancer_screening,HCPCS,G0123,Pap smear screening,Medicare-coded Pap smear cervical cancer screening.,Cervical cancer screening for eligible women.
cancer_screening,CPT,77066,Diagnostic mammogram bilateral,Bilateral diagnostic mammogram for breast concerns.,Workup of a breast lump or abnormal screening mammogram.
cancer_screening,CPT,77047,MRI breast bilateral without contrast,Bilateral MRI of the breasts without contrast.,High-risk breast cancer screening or implant evaluation.
cancer_screening,CPT,76376,3D rendering cross-section imaging,3D reconstruction of cross-sectional imaging.,Often added to CT or MRI for tumor staging.
imaging,CPT,78813,PET imaging skull to thigh,Positron emission tomography imaging from skull to mid-thigh.,Common cancer staging and restaging scan.
imaging,CPT,70553,MRI brain with and without contrast,MRI of the brain both with and without contrast.,Detailed evaluation of brain tumors and lesions.
inpatient_drg,MS-DRG,838,Chemotherapy with acute leukemia as secondary diagnosis,Inpatient stay for chemotherapy in a patient with acute leukemia.,Hospital admission for intensive chemo regimen.
inpatient_drg,MS-DRG,839,Chemo without acute leukemia w MCC,Chemotherapy admission with major complications.,Inpatient chemo with serious side effects or comorbidities.
inpatient_drg,MS-DRG,840,Chemo without acute leukemia w/o MCC,Chemotherapy admission without major complications.,Standard inpatient chemo administration.
inpatient_drg,MS-DRG,542,Pathological fracture w MCC,Pathologic fracture from bone metastases with major complications.,"Bone metastases from breast, prostate, or lung cancer."
inpatient_drg,MS-DRG,180,Respiratory neoplasms w MCC,Lung cancer admission with major complications.,Advanced lung cancer needing inpatient care.
inpatient_drg,MS-DRG,181,Respiratory neoplasms w CC,Lung cancer admission with complications.,Lung cancer needing inpatient management.
inpatient_drg,MS-DRG,374,Digestive malignancy w MCC,"Colon, gastric, or other GI cancer with major complications.",Advanced GI cancer admission.
inpatient_drg,MS-DRG,375,Digestive malignancy w CC,GI cancer admission with complications.,GI cancer needing inpatient management.
inpatient_drg,MS-DRG,988,Postop and post-treatment with neoplasm dx,Post-treatment care related to cancer.,Recovery from cancer surgery or other treatment.
inpatient_drg,MS-DRG,846,Chemo with acute leukemia as secondary w/o CC,"Chemo admission with acute leukemia, no complications.",Standard inpatient chemo for acute leukemia.
inpatient_drg,MS-DRG,826,Myeloproliferative w/o CC,"Inpatient stay for myeloproliferative disorder, no complications.",Stem cell transplants and lymphoma admissions.
inpatient_drg,MS-DRG,863,Postop and post-treatment infectious dx,"Post-treatment infections, often after chemo.",Neutropenic fever and other treatment-related infections.
imaging,CPT,74183,MRI abdomen with and without contrast,MRI of the abdomen both with and without contrast.,"Liver lesions, bile ducts, and pancreas evaluation."
lab,CPT,85027,Complete blood count without differential,Standard complete blood count without differential.,Routine screening lab.
lab,CPT,80050,General health panel,"Bundled CBC, CMP, and TSH panel.",Annual physical and general health screening.
lab,CPT,82607,Vitamin B12 level dup,(Duplicate seed; kept for safety.),Same as existing 82607.
hospital_line_item,HCPCS,C9132,Prothrombin complex per IU,Hospital outpatient line item for prothrombin complex concentrate.,Reversal of warfarin in bleeding patients.
infused_drug,HCPCS,J7307,Etonogestrel implant Nexplanon,Subdermal contraceptive implant device.,Long-acting reversible contraception.
surgical,CPT,63030,Lumbar laminotomy single,Single-level lumbar laminotomy with disc removal.,Sciatica from a herniated disc.
surgical,CPT,63047,Lumbar laminectomy single,Single-level lumbar laminectomy for spinal stenosis.,Spinal stenosis with leg symptoms.
surgical,CPT,23472,Total shoulder arthroplasty,Total shoulder joint replacement.,Severe shoulder arthritis or rotator cuff arthropathy.
infused_drug,HCPCS,J0897,Denosumab Prolia per 1mg,RANKL inhibitor injection for bone density and bone metastases.,Osteoporosis or bone metastases from cancer.
infused_drug,HCPCS,J2796,Romiplostim per 10mcg,Thrombopoietin receptor agonist injection.,Chronic immune thrombocytopenia.
infused_drug,HCPCS,J2778,Ranibizumab per 0.1mg,Anti-VEGF eye injection.,Macular degeneration and diabetic retinopathy.
infused_drug,HCPCS,J0178,Aflibercept per 1mg,Anti-VEGF eye injection.,Macular degeneration and diabetic retinopathy.
infused_drug,HCPCS,J2350,Ocrelizumab Ocrevus per 1mg,Anti-CD20 antibody for multiple sclerosis.,Relapsing and primary progressive MS.
infused_drug,HCPCS,J0490,Belimumab Benlysta per 10mg,Anti-BLyS antibody for lupus.,Active SLE not controlled by standard therapy.
infused_drug,HCPCS,J0717,Certolizumab pegol per 1mg,Anti-TNF antibody for inflammatory disease.,"Crohn disease, RA, ankylosing spondylitis."
infused_drug,HCPCS,J1745,Infliximab Remicade per 10mg,Anti-TNF antibody for inflammatory disease.,"Crohn disease, ulcerative colitis, RA."
infused_drug,HCPCS,J3357,Ustekinumab Stelara per 1mg,Anti-IL-12/23 antibody.,"Psoriasis, psoriatic arthritis, Crohn disease."
infused_drug,HCPCS,J3380,Vedolizumab Entyvio per 1mg,Anti-integrin antibody.,Crohn disease and ulcerative colitis.
cardiovascular,CPT,33361,TAVR transfemoral,"Transcatheter aortic valve replacement, transfemoral.",Severe aortic stenosis in higher-risk patients.
